"gene","logFC","logCPM","PValue","FDR"
"COL5A2|1290",2.04753119093821,7.23804600741167,1.38852109344111e-23,3.56363938631662e-21
"TSPAN18|90139",1.79458529506704,4.40320667656569,1.91246235385382e-23,4.82787012901557e-21
"LMOD1|25802",1.74765806210641,3.71374492826185,3.14844202152167e-23,7.81981591764713e-21
"IGFBP4|3487",1.34568968692671,8.07315929228908,3.38630924084097e-23,8.20486000928748e-21
"DACT3|147906",1.82191519275824,2.6802848812496,3.41003338265081e-23,8.20486000928748e-21
"ACTA2|59",1.759265386926,7.79599173108965,6.49641301428893e-23,1.53905021549285e-20
"DLC1|10395",1.45605095664841,3.80666227400567,6.98198327217412e-23,1.60666025879703e-20
"PMEPA1|56937",1.74323361244923,6.10546273812934,6.99046933822982e-23,1.60666025879703e-20
"SCARF2|91179",1.4791177269432,5.40072606496811,1.00426987224055e-22,2.27422820038709e-20
"TGFB1I1|7041",1.27954602359102,5.3291022203308,1.04661494346817e-22,2.3357715238357e-20
"PODN|127435",1.98719068323292,4.60700277596245,1.12982744492614e-22,2.4854589749168e-20
"SNAI2|6591",1.67201507346984,3.95933153311175,1.20468638446205e-22,2.6128120611734e-20
"FN1|2335",1.98488071685005,10.9366787730043,1.37022287652319e-22,2.93056417716398e-20
"ZEB1|6935",1.34138060658663,3.73418800763349,1.46773604623701e-22,3.09611881863064e-20
"LHFP|10186",1.35426450037258,3.96504075599233,2.85663934522124e-22,5.94451206446781e-20
"PRKG1|5592",1.91381601191418,0.231894793887621,3.52335876840776e-22,7.23416022329482e-20
"TIMP2|7077",1.10846871715469,8.67721195913171,3.99580519467303e-22,8.09623739378553e-20
"VGLL3|389136",1.97732572325949,3.10539941881518,4.48409461918572e-22,8.96760688842089e-20
"THBS2|7058",2.04932617567551,7.14368416530158,4.8348704788739e-22,9.54515006463835e-20
"SEPT11|55752",0.848193017376531,6.31860469636243,5.56432837795711e-22,1.08462142648306e-19
"NID1|4811",1.36913481144848,5.74683511020323,6.64752481427122e-22,1.27956543268703e-19
"KCNE4|23704",1.84819440518484,2.62798890472487,9.51064137208542e-22,1.80807859862646e-19
"COLEC12|81035",1.5950737975094,4.34207141366522,9.66407741537282e-22,1.80909912070506e-19
"C1QTNF1|114897",1.54824736916845,5.17791163392807,9.75097259682577e-22,1.80909912070506e-19
"PDLIM3|27295",1.69004383549793,4.97282611931592,1.34647087979658e-21,2.46836965214137e-19
"MRGPRF|116535",1.39891157767447,3.34552075332517,1.59551380937138e-21,2.89050790005998e-19
"MEIS3|56917",1.8070091704707,2.2733786209698,1.66829201799445e-21,2.98721264942983e-19
"ISM1|140862",1.96186002995295,3.58059118731376,1.83440198535186e-21,3.24689151407279e-19
"ZCCHC24|219654",1.36898593406469,4.80298520795004,1.9393601754433e-21,3.39365992518766e-19
"ELFN1|392617",1.39722726946664,2.0599748918932,2.19434416277885e-21,3.79670851265523e-19
"FAM198B|51313",1.25166229414916,5.09251846117452,3.22472593237395e-21,5.51229749944321e-19
"TGFB3|7043",1.6829665464253,3.93909000101495,3.25747822877675e-21,5.51229749944321e-19
"ADAMTS12|81792",2.0965702985754,3.34239325552295,3.30541672167251e-21,5.5326208801125e-19
"TSPAN11|441631",2.35125922304302,2.24830404884084,4.66515494770961e-21,7.72459366019144e-19
"CNRIP1|25927",1.2732907131143,2.82180579156153,6.62359064051489e-21,1.08507098163073e-18
"CHSY1|22856",0.848537365386893,5.61284974375586,8.38832312305599e-21,1.35970302917831e-18
"FKBP14|55033",1.07264421189015,2.88078846531686,8.81099131516318e-21,1.41333807564789e-18
"FNDC1|84624",1.95423175926119,5.64849990878302,9.16857435664777e-21,1.45553480946411e-18
"LRRC17|10234",2.1379060460011,2.92076903223261,1.06821002657717e-20,1.67850675502673e-18
"MN1|4330",2.00618080123645,3.9837565371141,1.19361676945099e-20,1.85661662957331e-18
"FILIP1L|11259",1.35229361712762,5.214448386524,1.55511341542735e-20,2.39471914841658e-18
"JAM3|83700",1.32999843695359,4.07420558343159,2.13494172532627e-20,3.22020655013554e-18
"LEPRE1|64175",0.96589974734677,5.83301241321529,2.13743821049337e-20,3.22020655013554e-18
"SULF2|55959",1.59126730156874,5.99279956633063,2.15391437537477e-20,3.22020655013554e-18
"ELFN2|114794",2.98205496256614,1.04263355678502,2.30365635438843e-20,3.41096194242571e-18
"MRVI1|10335",1.38692425768384,4.0227074429107,2.57434604051215e-20,3.7754623502711e-18
"GALNT5|11227",2.02891276179897,1.16229188879537,2.83498462835415e-20,4.11848380113448e-18
"FRMD6|122786",1.29351682212586,4.19938606832909,2.92290004634007e-20,4.20651755267203e-18
"FKBP7|51661",1.10788555738352,3.88074143138379,3.23123892004113e-20,4.60720816015865e-18
"PTGIS|5740",2.04131764751353,5.83901385142775,3.33482787247177e-20,4.71128572552228e-18
"GPR124|25960",1.43478008128499,5.45950111976256,3.5073795711262e-20,4.91001254688839e-18
"JPH2|57158",1.96101840369749,2.50475220618018,4.27968072856687e-20,5.93718950803614e-18
"AOC3|8639",1.91636058481683,3.12143572561468,4.37191635068556e-20,6.01099463251848e-18
"WISP1|8840",1.56747802620213,3.19981553335093,4.417128467241e-20,6.01941250150833e-18
